"Surface","SourceOfTruth","ReadBoundary","WriteBoundary","GovernanceLevel","ApprovalGate","EvidenceTarget","GraduationRule"
"Agent Action Log","Guided AI Labs SharePoint List","Read all action log rows needed for audit, status, and suggestions.","Create suggested, dry-run, verification, and completed-action rows.","G1/G2","G1 proposals may be logged; G2 completed internal writes need named approval.","Agent Action Log","Required for every later adapter lane."
"Decision Register","Guided AI Labs SharePoint List","Read prior governance, app posture, and operating decisions.","Record approved decisions only; never infer approval from context.","G2/G3","Adam approval required before decision write.","Decision Register and Agent Action Log","Required before new app, consent, permission, sharing, or external-send posture."
"Guided AI Labs operating Lists","Guided AI Labs SharePoint Lists","Read intake, workspace, handoff, tool review, automation backlog, exceptions, readiness, and CRM records.","Create/update internal records only after approval; no real client commitments without review.","G2","Named internal List-write approval.","Agent Action Log plus target List item link","Stage 8D dummy path must be captured before broader internal writes."
"Relationship CRM Lists","CRM Lists in Guided AI Labs SharePoint","Read organizations, contacts, engagements, stakeholders, touchpoints, lifecycle, actions, qualification, notes, artifacts, and health.","Create/update internal relationship records and follow-ups after approval; do not create external commitments.","G2","Named CRM internal-write approval.","Agent Action Log plus CRM item link","CRM command center and Stage 8D walkthrough must be usable by Adam."
"Planner","Guided AI Labs - Operating Plan","Read tasks and bucket state for coordination.","Create/update supervised internal tasks only; no calendar/deadline commitment without approval.","G2","Named Planner-write approval.","Agent Action Log plus task link or title","Remain delegated/supervised until a narrower app posture is approved."
"SharePoint evidence libraries","Guided AI Labs SharePoint libraries","Read approved evidence, methods, handoff packets, and readiness materials.","Create folders/files only in approved workspace paths; no permission/share changes.","G2/G3","Internal file creation G2; sharing/permission changes G3.","Agent Action Log plus file/folder link","Selected permissions design must be approved before app-based writes."
"Exchange support mailbox","support@changeleadershiptools.com mailbox","Read approved support mailbox metadata and message bodies only after support MFA/access posture is complete.","Create draft replies only; sending remains approval-gated.","G2/G3","Draft G2 after approval; external send G3 after explicit review.","Support Register and Agent Action Log","Support MFA and Exchange Application RBAC design must be complete before app-based access."
"Teams","Guided AI Labs Team channels","Read approved channel context for coordination summaries.","Post internal summaries only after approval; no broad announcements or guest-impacting posts.","G2/G3","Internal channel post G2; broad/external-sensitive post G3.","Agent Action Log plus channel/post link when available","Keep manual/supervised until posting etiquette and channel scope are reviewed."
"Forms and intake routing","Microsoft Forms plus target Lists","Read approved form schema and response routing evidence.","Propose form/flow updates locally; public/client-facing publishing requires approval.","G1/G3","Public/client form changes G3.","Decision Register and Agent Action Log","No public/client form publishing until Stage 8D and access decisions are reviewed."
"Entra app registrations and enterprise apps","Entra ID","Read app ownership, permissions, consent posture, and sign-in/audit evidence.","No default writes. App creation, consent, permission grants, and tenant policy changes require separate approval-gated operators.","G3/G4","Decision Register approval and typed approval phrase.","Decision Register, Agent Action Log, and inventory transcript","Must not reuse broad setup helper grants as production bridge capability."
