"Area","Question","Evidence","M365Surface","Risk","Notes"
"Identity","Who are the real humans, admins, front doors, support identities, guests, and service identities?","User/admin role export or screenshots","Entra / M365 admin center","High if roles are blurry",""
"Records","Where do official company, client, legal, finance, and reusable-method records live?","SharePoint sites/libraries map","SharePoint","High if records live in email or personal OneDrive",""
"Mail","Which mailboxes are signals, which are humans, and which require agent-visible intake later?","Mailbox/address map","Exchange","Medium",""
"Tasks","Where does action-bearing work live, and what should not become a task?","Planner/List examples","Planner / Lists","Medium",""
"Decisions","Where are approvals, scope decisions, commitments, and unresolved questions recorded?","Decision register or equivalent","Lists / SharePoint","High if decisions are buried in chat",""
"Collaboration","Where do conversations happen, and what belongs in Teams versus SharePoint?","Teams/channel map","Teams","Medium",""
"Sharing","Can external users access anything, and by what rule?","Tenant/site sharing settings","SharePoint / Entra","High",""
"Local device","Is the client saving official work to the right tenant and not blending accounts?","OneDrive/browser profile map","OneDrive / Windows / browser","Medium",""
"AI readiness","What may an agent read, draft, create, or update, and what requires approval?","Approval boundary matrix","Graph / Lists / Teams","High",""
"Handoff","What does the client own when Guided AI Labs leaves?","Ownership/handoff note","SharePoint / admin centers","High",""
