"group","link","kind","target"
"Start Here","Operating Model","Page","Operating Model"
"Client Delivery","Client Discovery","Page","Client Discovery"
"Client Delivery","Handoff Packets","Library","Client Handoff Packets"
"Methods and IP","Templates","LibraryFolder","Published Methods/Templates"
"Methods and IP","Playbooks","LibraryFolder","Published Methods/Playbooks"
"Methods and IP","Training Paths","LibraryFolder","Published Methods/Training Paths"
"Methods and IP","Reusable Assets","LibraryFolder","Published Methods/Reusable Assets"
"AI and Automation","Agent Setup","Page","Agent Setup"
"AI and Automation","Automation Backlog","List","Automation Backlog"
"AI and Automation","Tool Permission Review","List","Tool Permission Review"
"Records and Evidence","Readiness Evidence","Library","Readiness Evidence"
"Governance","Access Model","Page","Access Model"
"Governance","External Sharing Rules","Page","External Sharing Rules"
"Governance","App Grants","Page","App Grants"
"Governance","Exceptions","List","Exception Register"
"Archive","Completed Work","LibraryFolder","Archive/Completed Work"
"Archive","Historical Evidence","LibraryFolder","Archive/Historical Evidence"
