"Area","List","Item","Value"
"Friendly field label","Guided AI Labs - Intake Register","Title","Intake summary"
"Friendly field label","Guided AI Labs - Intake Register","RequesterName","Person name"
"Friendly field label","Guided AI Labs - Intake Register","RequesterEmail","Email"
"Friendly field label","Guided AI Labs - Intake Register","IntakeClass","Signal type"
"Friendly field label","Guided AI Labs - Intake Register","NextAction","What should happen next?"
"Friendly field label","Guided AI Labs - Intake Register","AgentNotes","Context / notes"
"Friendly field label","Guided AI Labs - Intake Register","HumanApprovalRequired","Needs Adam review"
"Form section","Guided AI Labs - Intake Register","Quick intake","Intake summary; Person name; Email; Organization"
"Form section","Guided AI Labs - Intake Register","Triage","Signal type; Priority; What should happen next?; Context / notes; Needs Adam review"
"Read-only system field","Guided AI Labs - Intake Register","SourceMailbox","Hidden from new item form; read-only after creation"
"Read-only system field","Guided AI Labs - Intake Register","SourceMessageId","Hidden from new item form; read-only after creation"
"Read-only system field","Guided AI Labs - Intake Register","ReceivedDate","Hidden from new item form; read-only after creation"
"Read-only system field","Guided AI Labs - Intake Register","IntakeStatus","Hidden from new item form; read-only after creation"
"Read-only system field","Guided AI Labs - Intake Register","ItemOwner","Hidden from new item form; read-only after creation"
"Read-only system field","Guided AI Labs - Intake Register","DurableHome","Hidden from new item form; read-only after creation"
"Read-only system field","Guided AI Labs - Intake Register","PlannerTaskUrl","Hidden from new item form; read-only after creation"
"Read-only system field","Guided AI Labs - Intake Register","CentralOSLink","Hidden from new item form; read-only after creation"
"Read-only system field","Guided AI Labs - Intake Register","GraphNodeId","Hidden from new item form; read-only after creation"
"Read-only system field","Guided AI Labs - Intake Register","AgentConfidence","Hidden from new item form; read-only after creation"
