"List","View","Fields","RowLimit","Query"
"CRM - Action Queue","Open CRM Actions","LinkTitle; ActionType; ActionStatus; Priority; DueDate; OrganizationLookup; EngagementLookup; ContactLookup; ItemOwner; NextAction","100","<Where><And><Neq><FieldRef Name='ActionStatus' /><Value Type='Choice'>Complete</Value></Neq><Neq><FieldRef Name='ActionStatus' /><Value Type='Choice'>Cancelled</Value></Neq></And></Where><OrderBy><FieldRef Name='DueDate' Ascending='TRUE' /><FieldRef Name='Priority' Ascending='FALSE' /></OrderBy>"
"CRM - Action Queue","Due / Overdue Actions","LinkTitle; ActionType; ActionStatus; Priority; DueDate; OrganizationLookup; EngagementLookup; BlocksDecision; BlocksGoLive; NextAction","100","<Where><And><Leq><FieldRef Name='DueDate' /><Value Type='DateTime'><Today /></Value></Leq><And><Neq><FieldRef Name='ActionStatus' /><Value Type='Choice'>Complete</Value></Neq><Neq><FieldRef Name='ActionStatus' /><Value Type='Choice'>Cancelled</Value></Neq></And></And></Where><OrderBy><FieldRef Name='DueDate' Ascending='TRUE' /><FieldRef Name='Priority' Ascending='FALSE' /></OrderBy>"
"CRM - Action Queue","Decision / Go-Live Blockers","LinkTitle; ActionType; ActionStatus; Priority; DueDate; OrganizationLookup; EngagementLookup; BlocksDecision; BlocksGoLive; NextAction","100","<Where><And><Or><Eq><FieldRef Name='BlocksDecision' /><Value Type='Boolean'>1</Value></Eq><Eq><FieldRef Name='BlocksGoLive' /><Value Type='Boolean'>1</Value></Eq></Or><Neq><FieldRef Name='ActionStatus' /><Value Type='Choice'>Complete</Value></Neq></And></Where><OrderBy><FieldRef Name='DueDate' Ascending='TRUE' /></OrderBy>"
"CRM - Action Queue","Completed Actions","LinkTitle; ActionType; CompletedDate; OrganizationLookup; EngagementLookup; Outcome","100","<Where><Eq><FieldRef Name='ActionStatus' /><Value Type='Choice'>Complete</Value></Eq></Where><OrderBy><FieldRef Name='CompletedDate' Ascending='FALSE' /></OrderBy>"
"CRM - Qualification","Qualification Triage","LinkTitle; SignalSource; QualificationStatus; FitScore; Urgency; OrganizationLookup; ContactLookup; RecommendedPackage; NextActionDueDate; NextAction","100","<Where><Or><Eq><FieldRef Name='QualificationStatus' /><Value Type='Choice'>New</Value></Eq><Eq><FieldRef Name='QualificationStatus' /><Value Type='Choice'>Researching</Value></Eq></Or></Where><OrderBy><FieldRef Name='NextActionDueDate' Ascending='TRUE' /><FieldRef Name='FitScore' Ascending='FALSE' /></OrderBy>"
"CRM - Qualification","Qualified / Proposal Recommended","LinkTitle; QualificationStatus; FitScore; Urgency; OrganizationLookup; EngagementLookup; RecommendedPackage; NextAction","100","<Where><Or><Eq><FieldRef Name='QualificationStatus' /><Value Type='Choice'>Qualified</Value></Eq><Eq><FieldRef Name='QualificationStatus' /><Value Type='Choice'>Proposal recommended</Value></Eq></Or></Where><OrderBy><FieldRef Name='FitScore' Ascending='FALSE' /></OrderBy>"
"CRM - Qualification","Nurture / Disqualified","LinkTitle; QualificationStatus; DisqualificationReason; OrganizationLookup; RecommendedPackage; NextAction","100","<Where><Or><Eq><FieldRef Name='QualificationStatus' /><Value Type='Choice'>Nurture</Value></Eq><Eq><FieldRef Name='QualificationStatus' /><Value Type='Choice'>Disqualified</Value></Eq></Or></Where><OrderBy><FieldRef Name='Modified' Ascending='FALSE' /></OrderBy>"
"CRM - Meeting Notes","Upcoming Meetings","LinkTitle; MeetingDate; MeetingType; MeetingStatus; OrganizationLookup; EngagementLookup; PrimaryContactLookup; Agenda; ItemOwner","100","<Where><Geq><FieldRef Name='MeetingDate' /><Value Type='DateTime'><Today /></Value></Geq></Where><OrderBy><FieldRef Name='MeetingDate' Ascending='TRUE' /></OrderBy>"
"CRM - Meeting Notes","Meeting Prep Needed","LinkTitle; MeetingDate; MeetingType; MeetingStatus; OrganizationLookup; EngagementLookup; Agenda","100","<Where><Eq><FieldRef Name='MeetingStatus' /><Value Type='Choice'>Prep needed</Value></Eq></Where><OrderBy><FieldRef Name='MeetingDate' Ascending='TRUE' /></OrderBy>"
"CRM - Meeting Notes","Meeting Debrief Needed","LinkTitle; MeetingDate; MeetingType; MeetingStatus; OrganizationLookup; EngagementLookup; Commitments; FollowUpDueDate","100","<Where><Eq><FieldRef Name='MeetingStatus' /><Value Type='Choice'>Complete - debrief needed</Value></Eq></Where><OrderBy><FieldRef Name='MeetingDate' Ascending='FALSE' /></OrderBy>"
"CRM - Meeting Notes","Meeting History","LinkTitle; MeetingDate; MeetingType; OrganizationLookup; EngagementLookup; Sentiment; Decisions","100","<OrderBy><FieldRef Name='MeetingDate' Ascending='FALSE' /></OrderBy>"
"CRM - Artifacts","Active Artifacts","LinkTitle; ArtifactType; ArtifactStatus; OrganizationLookup; EngagementLookup; ArtifactLink; ReviewDueDate; ItemOwner","100","<Where><And><Neq><FieldRef Name='ArtifactStatus' /><Value Type='Choice'>Archived</Value></Neq><Neq><FieldRef Name='ArtifactStatus' /><Value Type='Choice'>Superseded</Value></Neq></And></Where><OrderBy><FieldRef Name='ReviewDueDate' Ascending='TRUE' /></OrderBy>"
