"List","DisplayName","InternalName","Type","Required","Indexed","Choices","Default"
"CRM - Organizations","NextActionDueDate","NextActionDueDate","DateTime","","True","",""
"CRM - Organizations","Priority","Priority","Choice","","True","Low; Normal; High; Urgent","Normal"
"CRM - Organizations","OperationalHealth","OperationalHealth","Choice","","True","Green; Yellow; Red; Unknown","Unknown"
"CRM - Organizations","ReviewCadence","ReviewCadence","Choice","","","Weekly; Biweekly; Monthly; Quarterly; As needed","Monthly"
"CRM - Organizations","AccountTier","AccountTier","Choice","","True","Strategic; Core; Emerging; Dormant; Not a fit","Emerging"
"CRM - Organizations","BackupOwner","BackupOwner","User","","","",""
"CRM - Contacts","NextActionDueDate","NextActionDueDate","DateTime","","True","",""
"CRM - Contacts","Priority","Priority","Choice","","True","Low; Normal; High; Urgent","Normal"
"CRM - Contacts","LastContacted","LastContacted","DateTime","","","",""
"CRM - Contacts","ContactBoundary","ContactBoundary","Choice","","True","Normal; Sensitive; Do not contact; Requires Adam review","Normal"
"CRM - Contacts","BackupOwner","BackupOwner","User","","","",""
"CRM - Engagements","NextActionDueDate","NextActionDueDate","DateTime","","True","",""
"CRM - Engagements","Priority","Priority","Choice","","True","Low; Normal; High; Urgent","Normal"
"CRM - Engagements","OperationalHealth","OperationalHealth","Choice","","True","Green; Yellow; Red; Unknown","Unknown"
"CRM - Engagements","DecisionStatus","DecisionStatus","Choice","","True","Not started; Discovery; Awaiting Adam; Awaiting client; Proposal sent; Verbal yes; Won; Lost; Paused","Not started"
"CRM - Engagements","DecisionDueDate","DecisionDueDate","DateTime","","True","",""
"CRM - Engagements","EstimatedValue","EstimatedValue","Currency","","","",""
"CRM - Engagements","ProbabilityPercent","ProbabilityPercent","Number","","","",""
"CRM - Engagements","NextMilestone","NextMilestone","Text","","","",""
"CRM - Engagements","TargetGoLiveDate","TargetGoLiveDate","DateTime","","","",""
"CRM - Engagements","HandoffStatus","HandoffStatus","Choice","","True","Not started; In progress; Ready for review; Delivered; Accepted; Not applicable","Not started"
"CRM - Engagements","BackupOwner","BackupOwner","User","","","",""
"CRM - Stakeholder Map","NextActionDueDate","NextActionDueDate","DateTime","","True","",""
"CRM - Stakeholder Map","Priority","Priority","Choice","","True","Low; Normal; High; Urgent","Normal"
"CRM - Stakeholder Map","Sentiment","Sentiment","Choice","","True","Positive; Neutral; Concerned; Resistant; Unknown","Unknown"
"CRM - Stakeholder Map","RelationshipRisk","RelationshipRisk","Choice","","True","Low; Medium; High; Critical; Unknown","Unknown"
"CRM - Touchpoints","Priority","Priority","Choice","","True","Low; Normal; High; Urgent","Normal"
"CRM - Touchpoints","TouchpointOutcome","TouchpointOutcome","Choice","","True","Info captured; Decision advanced; Follow-up promised; Blocked; No response; Relationship risk; Other","Info captured"
"CRM - Touchpoints","NextTouchpointType","NextTouchpointType","Choice","","","Email; Meeting; Phone; Teams; Proposal; Internal review; Other","Email"
"CRM - Lifecycle Checklist","Priority","Priority","Choice","","True","Low; Normal; High; Urgent","Normal"
"CRM - Lifecycle Checklist","Workstream","Workstream","Choice","","True","Commercial; Delivery; Technical; Training; Governance; Handoff; Support; Other","Delivery"
"CRM - Lifecycle Checklist","RequiredForGoLive","RequiredForGoLive","Boolean","","True","","0"
"CRM - Lifecycle Checklist","SortOrder","SortOrder","Number","","","",""
