"Group","Link","ExpectedUrl","Status","ActualUrl"
"Start Here","Home","/sites/GuidedAILabs/SitePages/Guided-AI-Labs-Home.aspx","Missing",""
"Start Here","How To Use This Workspace","/sites/GuidedAILabs/SitePages/How-To-Use-This-Workspace.aspx","Missing",""
"Start Here","Operating Model","","Deferred",""
"Operating Cockpit","Intake","/sites/GuidedAILabs/SitePages/Intake.aspx","Missing",""
"Operating Cockpit","Active Delivery","/sites/GuidedAILabs/SitePages/Active-Delivery.aspx","Missing",""
"Operating Cockpit","Decisions","/sites/GuidedAILabs/SitePages/Decisions.aspx","Missing",""
"Operating Cockpit","Action Log","/sites/GuidedAILabs/Lists/Agent%20Action%20Log/AllItems.aspx","Missing",""
"Client Delivery","Client Discovery","","Deferred",""
"Client Delivery","Client Workspace Pattern","/sites/GuidedAILabs/SitePages/Client-Workspace-Pattern.aspx","Missing",""
"Client Delivery","Handoff Packets","","Deferred",""
"Methods and IP","Templates","","Deferred",""
"Methods and IP","Playbooks","","Deferred",""
"Methods and IP","Training Paths","","Deferred",""
"Methods and IP","Reusable Assets","","Deferred",""
"AI and Automation","Agent Setup","","Deferred",""
"AI and Automation","Automation Backlog","","Deferred",""
"AI and Automation","Tool Permission Review","","Deferred",""
"Records and Evidence","Decision Register","/sites/GuidedAILabs/Lists/Decision%20Register/AllItems.aspx","Missing",""
"Records and Evidence","Agent Action Log","/sites/GuidedAILabs/Lists/Agent%20Action%20Log/AllItems.aspx","Missing",""
"Records and Evidence","Readiness Evidence","","Deferred",""
"Governance","Access Model","","Deferred",""
"Governance","External Sharing Rules","","Deferred",""
"Governance","App Grants","","Deferred",""
"Governance","Exceptions","","Deferred",""
"Archive","Completed Work","","Deferred",""
"Archive","Historical Evidence","","Deferred",""
